Model,Acceleration Rate,SSIM
Zero Filling,8x,0.726814214
Zero Filling,8x,0.729273686
Zero Filling,8x,0.724646627
Zero Filling,8x,0.82739119
Zero Filling,8x,0.830045201
Zero Filling,8x,0.829984677
Zero Filling,8x,0.831718908
Zero Filling,8x,0.877006799
Zero Filling,8x,0.873833219
Zero Filling,8x,0.868876324
Zero Filling,8x,0.857066021
Zero Filling,8x,0.790665502
Zero Filling,8x,0.784291126
Zero Filling,8x,0.780398411
Zero Filling,8x,0.784230007
Zero Filling,8x,0.848886801
Zero Filling,8x,0.841008343
Zero Filling,8x,0.846035885
Zero Filling,8x,0.849746015
Zero Filling,8x,0.712785386
Zero Filling,8x,0.712775926
Zero Filling,8x,0.710928496
Zero Filling,8x,0.717674255
Zero Filling,8x,0.812754952
Zero Filling,8x,0.81257408
Zero Filling,8x,0.810501211
Zero Filling,8x,0.808391453
Zero Filling,8x,0.810012508
Zero Filling,8x,0.816793639
Zero Filling,8x,0.81359039
Zero Filling,8x,0.8136034
Zero Filling,8x,0.834263803
Zero Filling,8x,0.837929672
Zero Filling,8x,0.837780649
Zero Filling,8x,0.824937467
Zero Filling,8x,0.83143499
Zero Filling,8x,0.832389775
Zero Filling,8x,0.827304703
Zero Filling,8x,0.822400166
Zero Filling,8x,0.832703989
Zero Filling,8x,0.835869075
Zero Filling,8x,0.838962093
Zero Filling,8x,0.834432236
Zero Filling,8x,0.786994875
Zero Filling,8x,0.785508539
Zero Filling,8x,0.784999166
Zero Filling,8x,0.784171407
Zero Filling,16x,0.788172484
Zero Filling,16x,0.784307575
Zero Filling,16x,0.783729763
Zero Filling,16x,0.782243464
Zero Filling,16x,0.748396567
Zero Filling,16x,0.742164242
Zero Filling,16x,0.734949739
Zero Filling,16x,0.73286688
Zero Filling,16x,0.761609027
Zero Filling,16x,0.765173992
Zero Filling,16x,0.76546984
Zero Filling,16x,0.761937773
Zero Filling,16x,0.809672356
Zero Filling,16x,0.811125688
Zero Filling,16x,0.809520986
Zero Filling,16x,0.808743956
Zero Filling,16x,0.845651244
Zero Filling,16x,0.841516107
Zero Filling,16x,0.841446268
Zero Filling,16x,0.835684416
Zero Filling,16x,0.77781022
Zero Filling,16x,0.8454722
Zero Filling,16x,0.844291039
Zero Filling,16x,0.85238893
Zero Filling,16x,0.807314269
Zero Filling,16x,0.842206083
Zero Filling,16x,0.843709931
Zero Filling,16x,0.764595945
Zero Filling,16x,0.757313462
Zero Filling,16x,0.758153403
Zero Filling,16x,0.758732727
Zero Filling,16x,0.755161325
Zero Filling,16x,0.789938796
